,tahun,jenis_api,Nilai Produksi,Jumlah Hari,Tanggal Berangkat,Tanggal Kedatangan,nama_ikan_id,berat
119635,2019,Jaring insang berlapis,945000,2,2019-09-07T00:00:00.000,2019-09-08T00:00:00.000,Kembung Perempuan [RAB],35
119725,2019,Jaring insang berlapis,297000,2,2019-09-08T00:00:00.000,2019-09-09T00:00:00.000,Kembung Perempuan [RAB],11
119811,2019,Jaring insang berlapis,1377000,2,2019-09-09T00:00:00.000,2019-09-10T00:00:00.000,Kembung Perempuan [RAB],51
119982,2019,Jaring insang berlapis,1444500,2,2019-09-11T00:00:00.000,2019-09-12T00:00:00.000,Kembung Perempuan [RAB],535
120333,2019,Jaring insang berlapis,1053000,2,2019-09-16T00:00:00.000,2019-09-17T00:00:00.000,Kembung Perempuan [RAB],39
120860,2019,Jaring insang berlapis,405000,2,2019-09-23T00:00:00.000,2019-09-24T00:00:00.000,Kembung Perempuan [RAB],15
121025,2019,Jaring insang berlapis,432000,2,2019-09-26T00:00:00.000,2019-09-27T00:00:00.000,Kembung Perempuan [RAB],16
121273,2019,Jaring insang berlapis,35000,2,2019-09-30T00:00:00.000,2019-10-01T00:00:00.000,Kembung Perempuan [RAB],5
122710,2019,Jaring insang berlapis,621000,2,2019-10-20T00:00:00.000,2019-10-21T00:00:00.000,Kembung Perempuan [RAB],23
122818,2019,Jaring insang berlapis,972000,2,2019-10-22T00:00:00.000,2019-10-23T00:00:00.000,Kembung Perempuan [RAB],36
123240,2019,Jaring insang berlapis,513000,2,2019-10-29T00:00:00.000,2019-10-30T00:00:00.000,Kembung Perempuan [RAB],19
123682,2019,Jaring insang berlapis,720000,2,2019-11-05T00:00:00.000,2019-11-06T00:00:00.000,Kembung Perempuan [RAB],24
123818,2019,Jaring insang berlapis,2160000,2,2019-11-06T00:00:00.000,2019-11-07T00:00:00.000,Kembung Perempuan [RAB],72
124196,2019,Jaring insang berlapis,624000,2,2019-11-12T00:00:00.000,2019-11-13T00:00:00.000,Kembung Perempuan [RAB],24
124639,2019,Jaring insang berlapis,648000,2,2019-11-20T00:00:00.000,2019-11-21T00:00:00.000,Kembung Perempuan [RAB],24
124786,2019,Jaring insang berlapis,621000,2,2019-11-23T00:00:00.000,2019-11-24T00:00:00.000,Kembung Perempuan [RAB],23
124858,2019,Jaring insang berlapis,1134000,2,2019-11-24T00:00:00.000,2019-11-25T00:00:00.000,Kembung Perempuan [RAB],42
124931,2019,Jaring insang berlapis,1161000,2,2019-11-25T00:00:00.000,2019-11-26T00:00:00.000,Kembung Perempuan [RAB],43
125057,2019,Jaring insang berlapis,750600,2,2019-11-27T00:00:00.000,2019-11-28T00:00:00.000,Kembung Perempuan [RAB],278
125494,2019,Jaring insang berlapis,918000,2,2019-12-04T00:00:00.000,2019-12-05T00:00:00.000,Kembung Perempuan [RAB],34
125939,2019,Pukat hela dasar berpapan,320000,1,2019-12-14T00:00:00.000,2019-12-14T00:00:00.000,Bawal Putih,4
125993,2019,Pukat hela dasar berpapan,320000,1,2019-12-15T00:00:00.000,2019-12-15T00:00:00.000,Bawal Putih,4
126561,2019,Jaring insang berlapis,756000,2,2019-12-24T00:00:00.000,2019-12-25T00:00:00.000,Kembung Perempuan [RAB],28
126622,2019,Jaring insang berlapis,783000,2,2019-12-25T00:00:00.000,2019-12-26T00:00:00.000,Kembung Perempuan [RAB],29
126841,2019,Jaring insang berlapis,1377000,2,2019-12-29T00:00:00.000,2019-12-30T00:00:00.000,Kembung Perempuan [RAB],51
127541,2019,Jaring insang berlapis,877500,2,2019-07-24T00:00:00.000,2019-07-25T00:00:00.000,Kembung Perempuan [RAB],325
127761,2019,Jaring insang berlapis,1296000,2,2019-09-11T00:00:00.000,2019-09-12T00:00:00.000,Kembung Perempuan [RAB],48
127795,2019,Jaring insang berlapis,189000,2,2019-10-03T00:00:00.000,2019-10-04T00:00:00.000,Kembung Perempuan [RAB],7
127919,2019,Jaring insang berlapis,900000,2,2019-11-05T00:00:00.000,2019-11-06T00:00:00.000,Kembung Perempuan [RAB],30
127925,2019,Jaring insang berlapis,1020000,2,2019-11-06T00:00:00.000,2019-11-07T00:00:00.000,Kembung Perempuan [RAB],34
127933,2019,Jaring insang berlapis,945000,2,2019-11-08T00:00:00.000,2019-11-09T00:00:00.000,Kembung Perempuan [RAB],35
127994,2019,Jaring insang berlapis,337500,2,2019-11-19T00:00:00.000,2019-11-20T00:00:00.000,Kembung Perempuan [RAB],125
128013,2019,Jaring insang berlapis,742500,2,2019-11-20T00:00:00.000,2019-11-21T00:00:00.000,Kembung Perempuan [RAB],275
128039,2019,Jaring insang berlapis,459000,2,2019-11-23T00:00:00.000,2019-11-24T00:00:00.000,Kembung Perempuan [RAB],17
128057,2019,Jaring insang berlapis,675000,2,2019-11-24T00:00:00.000,2019-11-25T00:00:00.000,Kembung Perempuan [RAB],25
128191,2019,Jaring insang berlapis,486000,2,2019-12-15T00:00:00.000,2019-12-16T00:00:00.000,Kembung Perempuan [RAB],18
129128,2019,Jaring insang berlapis,864000,2,2019-05-27T00:00:00.000,2019-05-28T00:00:00.000,Kembung Perempuan [RAB],32
129148,2019,Jaring insang berlapis,594000,2,2019-06-12T00:00:00.000,2019-06-13T00:00:00.000,Kembung Perempuan [RAB],22
129160,2019,Jaring insang berlapis,2187000,2,2019-06-14T00:00:00.000,2019-06-15T00:00:00.000,Kembung Perempuan [RAB],81
129167,2019,Jaring insang berlapis,1620000,2,2019-06-17T00:00:00.000,2019-06-18T00:00:00.000,Kembung Perempuan [RAB],60
129172,2019,Jaring insang berlapis,729000,2,2019-06-18T00:00:00.000,2019-06-19T00:00:00.000,Kembung Perempuan [RAB],27
129179,2019,Jaring insang berlapis,1269000,2,2019-06-19T00:00:00.000,2019-06-20T00:00:00.000,Kembung Perempuan [RAB],47
129187,2019,Jaring insang berlapis,2187000,2,2019-06-21T00:00:00.000,2019-06-22T00:00:00.000,Kembung Perempuan [RAB],81
129197,2019,Jaring insang berlapis,864000,2,2019-06-25T00:00:00.000,2019-06-26T00:00:00.000,Kembung Perempuan [RAB],32
129221,2019,Jaring insang berlapis,1026000,2,2019-06-30T00:00:00.000,2019-07-01T00:00:00.000,Kembung Perempuan [RAB],38
129235,2019,Jaring insang berlapis,1458000,2,2019-07-03T00:00:00.000,2019-07-04T00:00:00.000,Kembung Perempuan [RAB],54
129272,2019,Jaring insang berlapis,1080000,2,2019-07-08T00:00:00.000,2019-07-09T00:00:00.000,Kembung Perempuan [RAB],40
129288,2019,Pancing Ulur,93000,5,2019-07-11T00:00:00.000,2019-07-15T00:00:00.000,Kembung Perempuan [RAB],31
129309,2019,Jaring insang berlapis,918000,2,2019-07-15T00:00:00.000,2019-07-16T00:00:00.000,Kembung Perempuan [RAB],34
129458,2019,Jaring insang berlapis,864000,2,2019-07-30T00:00:00.000,2019-07-31T00:00:00.000,Kembung Perempuan [RAB],32
129491,2019,Jaring insang berlapis,675000,2,2019-08-02T00:00:00.000,2019-08-03T00:00:00.000,Kembung Perempuan [RAB],25
129622,2019,Jaring insang berlapis,1260000,2,2019-08-18T00:00:00.000,2019-08-19T00:00:00.000,Kembung Perempuan [RAB],42
129704,2019,Jaring insang berlapis,864000,2,2019-08-28T00:00:00.000,2019-08-29T00:00:00.000,Kembung Perempuan [RAB],32
129729,2019,Jaring insang berlapis,1188000,2,2019-08-29T00:00:00.000,2019-08-30T00:00:00.000,Kembung Perempuan [RAB],44
129838,2019,Jaring insang berlapis,1512000,2,2019-09-06T00:00:00.000,2019-09-07T00:00:00.000,Kembung Perempuan [RAB],56
129843,2019,Jaring insang berlapis,1917000,2,2019-09-07T00:00:00.000,2019-09-08T00:00:00.000,Kembung Perempuan [RAB],71
129859,2019,Jaring insang berlapis,1610000,2,2019-09-08T00:00:00.000,2019-09-09T00:00:00.000,Kembung Perempuan [RAB],23
129878,2019,Jaring insang berlapis,1188000,2,2019-09-09T00:00:00.000,2019-09-10T00:00:00.000,Kembung Perempuan [RAB],44
129956,2019,Jaring insang berlapis,499500,2,2019-09-15T00:00:00.000,2019-09-16T00:00:00.000,Kembung Perempuan [RAB],185
129959,2019,Jaring insang berlapis,810000,2,2019-09-15T00:00:00.000,2019-09-16T00:00:00.000,Kembung Perempuan [RAB],30
129979,2019,Jaring insang berlapis,1647000,2,2019-09-16T00:00:00.000,2019-09-17T00:00:00.000,Kembung Perempuan [RAB],61
130032,2019,Jaring insang berlapis,540000,2,2019-09-23T00:00:00.000,2019-09-24T00:00:00.000,Kembung Perempuan [RAB],20
130192,2019,Jaring insang berlapis,121500,2,2019-10-05T00:00:00.000,2019-10-06T00:00:00.000,Kembung Perempuan [RAB],45
130279,2019,Jaring insang berlapis,216000,2,2019-10-16T00:00:00.000,2019-10-17T00:00:00.000,Kembung Perempuan [RAB],8
130383,2019,Jaring insang berlapis,702000,2,2019-10-27T00:00:00.000,2019-10-28T00:00:00.000,Kembung Perempuan [RAB],26
130394,2019,Jaring insang berlapis,432000,2,2019-10-29T00:00:00.000,2019-10-30T00:00:00.000,Kembung Perempuan [RAB],16
130465,2019,Jaring insang berlapis,324000,2,2019-11-03T00:00:00.000,2019-11-04T00:00:00.000,Kembung Perempuan [RAB],12
130471,2019,Jaring insang berlapis,3618000,3,2019-11-02T00:00:00.000,2019-11-04T00:00:00.000,Kembung Perempuan [RAB],134
130561,2019,Jaring insang berlapis,540000,2,2019-11-08T00:00:00.000,2019-11-09T00:00:00.000,Kembung Perempuan [RAB],20
130574,2019,Jaring insang berlapis,486000,3,2019-11-08T00:00:00.000,2019-11-10T00:00:00.000,Kembung Perempuan [RAB],18
130585,2019,Jaring insang berlapis,1107000,2,2019-11-10T00:00:00.000,2019-11-11T00:00:00.000,Kembung Perempuan [RAB],41
130650,2019,Jaring insang berlapis,1485000,2,2019-11-18T00:00:00.000,2019-11-19T00:00:00.000,Kembung Perempuan [RAB],55
130667,2019,Jaring insang berlapis,1674000,2,2019-11-20T00:00:00.000,2019-11-21T00:00:00.000,Kembung Perempuan [RAB],62
130680,2019,Jaring insang berlapis,891000,2,2019-11-23T00:00:00.000,2019-11-24T00:00:00.000,Kembung Perempuan [RAB],33
130692,2019,Jaring insang berlapis,1080000,2,2019-11-25T00:00:00.000,2019-11-26T00:00:00.000,Kembung Perempuan [RAB],40
130703,2019,Jaring insang berlapis,840000,2,2019-11-26T00:00:00.000,2019-11-27T00:00:00.000,Kembung Perempuan [RAB],28
130712,2019,Jaring insang berlapis,1431000,2,2019-11-28T00:00:00.000,2019-11-29T00:00:00.000,Kembung Perempuan [RAB],53
130743,2019,Jaring insang berlapis,1012500,2,2019-12-04T00:00:00.000,2019-12-05T00:00:00.000,Kembung Perempuan [RAB],375
130831,2019,Jaring insang berlapis,810000,2,2019-12-15T00:00:00.000,2019-12-16T00:00:00.000,Kembung Perempuan [RAB],30
130833,2019,Jaring insang berlapis,918000,2,2019-12-15T00:00:00.000,2019-12-16T00:00:00.000,Kembung Perempuan [RAB],34
130869,2019,Jaring insang berlapis,1485000,2,2019-12-22T00:00:00.000,2019-12-23T00:00:00.000,Kembung Perempuan [RAB],55
130912,2019,Jaring insang berlapis,459000,2,2019-12-25T00:00:00.000,2019-12-26T00:00:00.000,Kembung Perempuan [RAB],17
130950,2019,Pancing Ulur,277200,10,2019-12-20T00:00:00.000,2019-12-29T00:00:00.000,Kembung Perempuan [RAB],84
130963,2019,Jaring insang berlapis,1088000,2,2019-12-29T00:00:00.000,2019-12-30T00:00:00.000,Kembung Perempuan [RAB],64
131868,2019,Jaring insang berlapis,450000,7,2019-05-22T00:00:00.000,2019-05-28T00:00:00.000,Kembung Perempuan [RAB],25
132004,2019,Pancing Ulur,135000,5,2019-06-21T00:00:00.000,2019-06-25T00:00:00.000,Kembung Perempuan [RAB],45
132152,2019,Jaring insang berlapis,312000,5,2019-08-09T00:00:00.000,2019-08-13T00:00:00.000,Bawal Putih,39
132338,2019,Jaring insang berlapis,1282500,2,2019-09-15T00:00:00.000,2019-09-16T00:00:00.000,Kembung Perempuan [RAB],475
132573,2019,Jaring insang berlapis,864000,2,2019-11-10T00:00:00.000,2019-11-11T00:00:00.000,Kembung Perempuan [RAB],32
132605,2019,Jaring insang berlapis,756000,2,2019-11-18T00:00:00.000,2019-11-19T00:00:00.000,Kembung Perempuan [RAB],28
132640,2019,Jaring insang berlapis,688500,2,2019-11-23T00:00:00.000,2019-11-24T00:00:00.000,Kembung Perempuan [RAB],255
132677,2019,Bagan perahu,321300,2,2019-11-28T00:00:00.000,2019-11-29T00:00:00.000,Kembung Perempuan [RAB],119
132763,2019,Jaring insang berlapis,378000,2,2019-12-11T00:00:00.000,2019-12-12T00:00:00.000,Kembung Perempuan [RAB],14
132772,2019,Jaring insang berlapis,702000,2,2019-12-15T00:00:00.000,2019-12-16T00:00:00.000,Kembung Perempuan [RAB],26
132787,2019,Jaring insang berlapis,756000,2,2019-12-22T00:00:00.000,2019-12-23T00:00:00.000,Kembung Perempuan [RAB],28
133006,2019,Bagan perahu,280000,3,2019-05-01T00:00:00.000,2019-05-03T00:00:00.000,Kembung Perempuan [RAB],10
133028,2019,Bagan perahu,168000,2,2019-05-16T00:00:00.000,2019-05-17T00:00:00.000,Kembung Perempuan [RAB],6
133510,2019,Bagan perahu,648000,2,2019-02-28T00:00:00.000,2019-03-01T00:00:00.000,Kembung Perempuan [RAB],24
133554,2019,Bagan perahu,312000,3,2019-03-05T00:00:00.000,2019-03-07T00:00:00.000,Kembung Perempuan [RAB],104
133568,2019,Bagan perahu,75000,3,2019-03-07T00:00:00.000,2019-03-09T00:00:00.000,Kembung Perempuan [RAB],5
133652,2019,Bagan perahu,320000,2,2019-04-05T00:00:00.000,2019-04-06T00:00:00.000,Kembung Perempuan [RAB],16
133873,2019,Bagan perahu,108000,2,2019-08-25T00:00:00.000,2019-08-26T00:00:00.000,Kembung Perempuan [RAB],4
133986,2019,Bagan perahu,691200,2,2019-11-24T00:00:00.000,2019-11-25T00:00:00.000,Kembung Perempuan [RAB],288
134002,2019,Bagan perahu,528000,2,2019-11-27T00:00:00.000,2019-11-28T00:00:00.000,Kembung Perempuan [RAB],176
134022,2019,Bagan perahu,302400,2,2019-11-30T00:00:00.000,2019-12-01T00:00:00.000,Kembung Perempuan [RAB],108
134071,2019,Bagan perahu,189000,2,2019-12-23T00:00:00.000,2019-12-24T00:00:00.000,Kembung Perempuan [RAB],105
134083,2019,Bagan perahu,72000,2,2019-12-24T00:00:00.000,2019-12-25T00:00:00.000,Kembung Perempuan [RAB],4
134124,2019,Bagan perahu,1998000,3,2019-01-07T00:00:00.000,2019-01-09T00:00:00.000,Kembung Perempuan [RAB],74
134139,2019,Bagan perahu,81000,3,2019-01-09T00:00:00.000,2019-01-11T00:00:00.000,Kembung Perempuan [RAB],3
134152,2019,Bagan perahu,45000,2,2019-01-12T00:00:00.000,2019-01-13T00:00:00.000,Kembung Perempuan [RAB],3
134168,2019,Bagan perahu,315000,2,2019-01-13T00:00:00.000,2019-01-14T00:00:00.000,Kembung Perempuan [RAB],21
134243,2019,Bagan perahu,168000,3,2019-02-08T00:00:00.000,2019-02-10T00:00:00.000,Kembung Perempuan [RAB],6
134297,2019,Bagan perahu,378000,3,2019-03-04T00:00:00.000,2019-03-06T00:00:00.000,Kembung Perempuan [RAB],14
134309,2019,Bagan perahu,1296000,3,2019-03-06T00:00:00.000,2019-03-08T00:00:00.000,Kembung Perempuan [RAB],48
134399,2019,Bagan perahu,128800,3,2019-04-11T00:00:00.000,2019-04-13T00:00:00.000,Kembung Perempuan [RAB],46
134538,2019,Bagan perahu,254800,3,2019-07-09T00:00:00.000,2019-07-11T00:00:00.000,Kembung Perempuan [RAB],91
134567,2019,Bagan perahu,64400,2,2019-07-30T00:00:00.000,2019-07-31T00:00:00.000,Kembung Perempuan [RAB],23
134586,2019,Bagan perahu,243600,2,2019-07-31T00:00:00.000,2019-08-01T00:00:00.000,Kembung Perempuan [RAB],87
134692,2019,Bagan perahu,56700,2,2019-10-04T00:00:00.000,2019-10-05T00:00:00.000,Kembung Perempuan [RAB],21
134707,2019,Bagan perahu,56700,3,2019-10-04T00:00:00.000,2019-10-06T00:00:00.000,Kembung Perempuan [RAB],21
134810,2019,Bagan perahu,81600,2,2019-11-06T00:00:00.000,2019-11-07T00:00:00.000,Kembung Perempuan [RAB],34
134977,2019,Bagan perahu,952000,2,2019-12-24T00:00:00.000,2019-12-25T00:00:00.000,Bawal Putih,136
134989,2019,Bagan perahu,650000,2,2019-12-25T00:00:00.000,2019-12-26T00:00:00.000,Kembung Perempuan [RAB],26
135050,2019,Bagan perahu,567000,3,2019-01-09T00:00:00.000,2019-01-11T00:00:00.000,Kembung Perempuan [RAB],21
135163,2019,Bagan perahu,270000,2,2019-02-25T00:00:00.000,2019-02-26T00:00:00.000,Kembung Perempuan [RAB],10
135196,2019,Bagan perahu,216000,2,2019-03-04T00:00:00.000,2019-03-05T00:00:00.000,Kembung Perempuan [RAB],8
135255,2019,Bagan perahu,243000,2,2019-03-07T00:00:00.000,2019-03-08T00:00:00.000,Kembung Perempuan [RAB],9
135258,2019,Bagan perahu,378000,2,2019-03-07T00:00:00.000,2019-03-08T00:00:00.000,Kembung Perempuan [RAB],14
135290,2019,Bagan perahu,30000,2,2019-03-08T00:00:00.000,2019-03-09T00:00:00.000,Kembung Perempuan [RAB],2
135399,2019,Bagan perahu,270000,2,2019-04-02T00:00:00.000,2019-04-03T00:00:00.000,Kembung Perempuan [RAB],10
135502,2019,Bagan perahu,20000,2,2019-04-11T00:00:00.000,2019-04-12T00:00:00.000,Kembung Perempuan [RAB],2
135511,2019,Bagan perahu,168000,3,2019-04-11T00:00:00.000,2019-04-13T00:00:00.000,Kembung Perempuan [RAB],6
135768,2019,Bagan perahu,168000,2,2019-05-26T00:00:00.000,2019-05-27T00:00:00.000,Kembung Perempuan [RAB],6
136569,2019,Bagan perahu,216000,2,2019-11-24T00:00:00.000,2019-11-25T00:00:00.000,Kembung Perempuan [RAB],9
136589,2019,Bagan perahu,241800,2,2019-11-25T00:00:00.000,2019-11-26T00:00:00.000,Kembung Perempuan [RAB],93
136610,2019,Bagan perahu,432000,2,2019-11-27T00:00:00.000,2019-11-28T00:00:00.000,Kembung Perempuan [RAB],144
136746,2019,Bagan perahu,1610000,2,2019-12-23T00:00:00.000,2019-12-24T00:00:00.000,Kembung Perempuan [RAB],575
136770,2019,Bagan perahu,658000,2,2019-12-24T00:00:00.000,2019-12-25T00:00:00.000,Bawal Putih,94
137019,2019,Bagan perahu,450000,2,2019-07-03T00:00:00.000,2019-07-04T00:00:00.000,Kembung Perempuan [RAB],15
137044,2019,Bagan perahu,59400,2,2019-08-01T00:00:00.000,2019-08-02T00:00:00.000,Kembung Perempuan [RAB],22
137543,2019,Bagan perahu,15000,2,2019-01-11T00:00:00.000,2019-01-12T00:00:00.000,Kembung Lelaki,1
137629,2019,Bagan perahu,84000,2,2019-03-03T00:00:00.000,2019-03-04T00:00:00.000,Kembung Perempuan [RAB],28
138041,2019,Bagan perahu,160500,3,2019-12-18T00:00:00.000,2019-12-20T00:00:00.000,Kembung Perempuan [RAB],107
138061,2019,Bagan perahu,40500,2,2019-12-26T00:00:00.000,2019-12-27T00:00:00.000,Kembung Perempuan [RAB],27
139061,2019,Bagan perahu,204000,2,2019-12-29T00:00:00.000,2019-12-30T00:00:00.000,Kembung Perempuan [RAB],51
139173,2019,Bagan perahu,270000,3,2019-03-04T00:00:00.000,2019-03-06T00:00:00.000,Kembung Perempuan [RAB],10
139384,2019,Bagan perahu,84000,3,2019-05-24T00:00:00.000,2019-05-26T00:00:00.000,Kembung Perempuan [RAB],3
139402,2019,Bagan perahu,103500,3,2019-05-28T00:00:00.000,2019-05-30T00:00:00.000,Kembung Perempuan [RAB],69
139416,2019,Bagan perahu,168000,3,2019-05-29T00:00:00.000,2019-05-31T00:00:00.000,Kembung Perempuan [RAB],6
139561,2019,Bagan perahu,81000,3,2019-08-08T00:00:00.000,2019-08-10T00:00:00.000,Kembung Perempuan [RAB],27
140805,2019,Bagan perahu,1904000,3,2019-05-25T00:00:00.000,2019-05-27T00:00:00.000,Kembung Perempuan [RAB],68
142779,2019,Bagan perahu,258000,2,2019-11-19T00:00:00.000,2019-11-20T00:00:00.000,Kembung Perempuan [RAB],86
151200,2019,Bagan perahu,432000,4,2019-01-01T00:00:00.000,2019-01-04T00:00:00.000,Kembung Perempuan [RAB],16
151634,2019,Bagan perahu,210000,3,2019-02-09T00:00:00.000,2019-02-11T00:00:00.000,Kembung Perempuan [RAB],14
151942,2019,Bagan perahu,324000,3,2019-03-01T00:00:00.000,2019-03-03T00:00:00.000,Kembung Perempuan [RAB],12
152784,2019,Bagan perahu,1792000,3,2019-04-30T00:00:00.000,2019-05-02T00:00:00.000,Kembung Perempuan [RAB],64
152823,2019,Bagan perahu,420000,3,2019-05-02T00:00:00.000,2019-05-04T00:00:00.000,Kembung Perempuan [RAB],14
153383,2019,Bagan perahu,267000,3,2019-06-30T00:00:00.000,2019-07-02T00:00:00.000,Kembung Perempuan [RAB],89
153679,2019,Bagan perahu,28000,3,2019-07-28T00:00:00.000,2019-07-30T00:00:00.000,Kembung Perempuan [RAB],1
155351,2019,Bagan perahu,87000,3,2019-11-30T00:00:00.000,2019-12-02T00:00:00.000,Kembung Perempuan [RAB],87
158124,2019,Bagan perahu,644000,3,2019-06-09T00:00:00.000,2019-06-11T00:00:00.000,Kembung Perempuan [RAB],23
158240,2019,Bagan perahu,56000,3,2019-06-25T00:00:00.000,2019-06-27T00:00:00.000,Kembung Perempuan [RAB],2
175586,2019,Pukat hela dasar berpapan,160000,1,2019-01-19T00:00:00.000,2019-01-19T00:00:00.000,Bawal Putih,2
175968,2019,Pukat hela dasar berpapan,80000,1,2019-01-27T00:00:00.000,2019-01-27T00:00:00.000,Bawal Putih,1
178030,2019,Bagan perahu,351000,3,2019-03-04T00:00:00.000,2019-03-06T00:00:00.000,Kembung Perempuan [RAB],13
180276,2019,Pukat hela dasar berpapan,80000,1,2019-04-13T00:00:00.000,2019-04-13T00:00:00.000,Bawal Putih,1
180382,2019,Pukat hela dasar berpapan,100000,1,2019-04-14T00:00:00.000,2019-04-14T00:00:00.000,Bawal Putih,1
182772,2019,Pukat hela dasar berpapan,80000,1,2019-05-19T00:00:00.000,2019-05-19T00:00:00.000,Bawal Putih,1
183840,2019,Pukat hela dasar berpapan,80000,1,2019-06-02T00:00:00.000,2019-06-02T00:00:00.000,Bawal Putih,1
183880,2019,Pukat hela dasar berpapan,80000,1,2019-06-08T00:00:00.000,2019-06-08T00:00:00.000,Bawal Putih,1
185721,2019,Pukat hela dasar berpapan,80000,1,2019-07-04T00:00:00.000,2019-07-04T00:00:00.000,Bawal Putih,1
185868,2019,Pukat hela dasar berpapan,80000,1,2019-07-05T00:00:00.000,2019-07-05T00:00:00.000,Bawal Putih,1
185986,2019,Pukat hela dasar berpapan,80000,1,2019-07-06T00:00:00.000,2019-07-06T00:00:00.000,Bawal Putih,1
186086,2019,Pukat hela dasar berpapan,80000,1,2019-07-07T00:00:00.000,2019-07-07T00:00:00.000,Bawal Putih,1
186994,2019,Pukat hela dasar berpapan,80000,1,2019-07-20T00:00:00.000,2019-07-20T00:00:00.000,Bawal Putih,1
189984,2019,Pukat hela dasar berpapan,80000,1,2019-08-30T00:00:00.000,2019-08-30T00:00:00.000,Bawal Putih,1
190030,2019,Pukat hela dasar berpapan,80000,1,2019-08-31T00:00:00.000,2019-08-31T00:00:00.000,Bawal Putih,1
190084,2019,Pukat hela dasar berpapan,40000,1,2019-09-01T00:00:00.000,2019-09-01T00:00:00.000,Bawal Putih,5
191002,2019,Pukat hela dasar berpapan,80000,1,2019-09-07T00:00:00.000,2019-09-07T00:00:00.000,Bawal Putih,1
191422,2019,Pukat hela dasar berpapan,48000,1,2019-09-11T00:00:00.000,2019-09-11T00:00:00.000,Bawal Putih,6
191767,2019,Pukat hela dasar berpapan,80000,1,2019-09-14T00:00:00.000,2019-09-14T00:00:00.000,Bawal Putih,1
191848,2019,Pukat hela dasar berpapan,80000,1,2019-09-15T00:00:00.000,2019-09-15T00:00:00.000,Bawal Putih,1
199757,2019,Pukat hela dasar berpapan,80000,1,2019-12-08T00:00:00.000,2019-12-08T00:00:00.000,Bawal Putih,1
199767,2019,Pukat hela dasar berpapan,160000,1,2019-12-08T00:00:00.000,2019-12-08T00:00:00.000,Bawal Putih,2
216858,2020,Pukat hela dasar berpapan,180000,1,2020-01-10T00:00:00.000,2020-01-10T00:00:00.000,Bawal Putih,2
216866,2020,Pukat hela dasar berpapan,252000,1,2020-01-10T00:00:00.000,2020-01-10T00:00:00.000,Bawal Putih,28
217112,2020,Pukat hela dasar berpapan,171000,1,2020-01-12T00:00:00.000,2020-01-12T00:00:00.000,Bawal Putih,19
217121,2020,Pukat hela dasar berpapan,252000,1,2020-01-12T00:00:00.000,2020-01-12T00:00:00.000,Bawal Putih,28
217126,2020,Pukat hela dasar berpapan,297000,1,2020-01-12T00:00:00.000,2020-01-12T00:00:00.000,Bawal Putih,33
219072,2020,Bagan perahu,152100,2,2020-01-30T00:00:00.000,2020-01-31T00:00:00.000,Kembung Perempuan [RAB],117
219217,2020,Bagan perahu,189000,3,2020-01-31T00:00:00.000,2020-02-02T00:00:00.000,Kembung Perempuan [RAB],135
219434,2020,Bagan perahu,203000,3,2020-02-04T00:00:00.000,2020-02-06T00:00:00.000,Kembung Perempuan [RAB],145
221592,2020,Bagan perahu,739200,3,2020-03-04T00:00:00.000,2020-03-06T00:00:00.000,Kembung Perempuan [RAB],264
222508,2020,Jaring insang berlapis,1615000,2,2020-03-23T00:00:00.000,2020-03-24T00:00:00.000,Kembung Perempuan [RAB],85
222626,2020,Jaring insang berlapis,630000,3,2020-03-24T00:00:00.000,2020-03-26T00:00:00.000,Kembung Perempuan [RAB],315
222687,2020,Jaring insang berlapis,760000,3,2020-03-25T00:00:00.000,2020-03-27T00:00:00.000,Kembung Perempuan [RAB],38
222957,2020,Pukat hela dasar berpapan,112000,1,2020-04-01T00:00:00.000,2020-04-01T00:00:00.000,Bawal Putih,14
222964,2020,Pukat hela dasar berpapan,160000,1,2020-04-01T00:00:00.000,2020-04-01T00:00:00.000,Bawal Putih,2
223334,2020,Pukat hela dasar berpapan,66000,1,2020-04-06T00:00:00.000,2020-04-06T00:00:00.000,Bawal Putih,12
223352,2020,Pukat hela dasar berpapan,220000,1,2020-04-06T00:00:00.000,2020-04-06T00:00:00.000,Bawal Putih,4
223538,2020,Pukat hela dasar berpapan,80000,1,2020-04-09T00:00:00.000,2020-04-09T00:00:00.000,Bawal Putih,1
223637,2020,Pukat hela dasar berpapan,160000,1,2020-04-10T00:00:00.000,2020-04-10T00:00:00.000,Bawal Putih,2
223776,2020,Pukat hela dasar berpapan,75000,1,2020-04-12T00:00:00.000,2020-04-12T00:00:00.000,Bawal Putih,15
224458,2020,Pukat hela dasar berpapan,1000000,1,2020-05-02T00:00:00.000,2020-05-02T00:00:00.000,Kembung Perempuan [RAB],50
224863,2020,Pukat hela dasar berpapan,220000,1,2020-05-06T00:00:00.000,2020-05-06T00:00:00.000,Bawal Putih,4
225666,2020,Pukat hela dasar berpapan,500000,1,2020-06-03T00:00:00.000,2020-06-03T00:00:00.000,Kembung Perempuan [RAB],25
226506,2020,Jaring insang lainnya,149400,1,2020-06-13T00:00:00.000,2020-06-13T00:00:00.000,Kembung Perempuan [RAB],83
226895,2020,Pukat hela dasar berpapan,620000,1,2020-06-16T00:00:00.000,2020-06-16T00:00:00.000,Kembung Perempuan [RAB],31
227111,2020,Pukat hela dasar berpapan,760000,1,2020-06-18T00:00:00.000,2020-06-18T00:00:00.000,Kembung Perempuan [RAB],38
