,tahun,jenis_api,Nilai Produksi,Jumlah Hari,Tanggal Berangkat,Tanggal Kedatangan,nama_ikan_id,berat
4174,2018,Jaring insang berlapis,440000,2,2018-02-02T00:00:00.000,2018-02-03T00:00:00.000,Kembung Perempuan [RAB],22
4242,2018,Jaring insang berlapis,980000,2,2018-02-03T00:00:00.000,2018-02-04T00:00:00.000,Kembung Perempuan [RAB],35
4316,2018,Jaring insang berlapis,700000,2,2018-02-04T00:00:00.000,2018-02-05T00:00:00.000,Kembung Perempuan [RAB],25
4392,2018,Jaring insang berlapis,616000,2,2018-02-05T00:00:00.000,2018-02-06T00:00:00.000,Kembung Perempuan [RAB],22
4463,2018,Jaring insang berlapis,672000,2,2018-02-06T00:00:00.000,2018-02-07T00:00:00.000,Kembung Perempuan [RAB],24
4516,2018,Bagan perahu,1180000,3,2018-02-05T00:00:00.000,2018-02-07T00:00:00.000,Kembung Perempuan [RAB],59
4712,2018,Jaring insang berlapis,616000,2,2018-02-07T00:00:00.000,2018-02-08T00:00:00.000,Kembung Perempuan [RAB],22
4729,2018,Bagan perahu,840000,3,2018-02-06T00:00:00.000,2018-02-08T00:00:00.000,Kembung Perempuan [RAB],42
4900,2018,Jaring insang berlapis,980000,2,2018-02-08T00:00:00.000,2018-02-09T00:00:00.000,Kembung Perempuan [RAB],35
4901,2018,Bagan perahu,740000,3,2018-02-07T00:00:00.000,2018-02-09T00:00:00.000,Kembung Perempuan [RAB],37
5292,2018,Jaring insang berlapis,644000,2,2018-02-11T00:00:00.000,2018-02-12T00:00:00.000,Kembung Perempuan [RAB],23
5391,2018,Jaring insang berlapis,756000,2,2018-02-12T00:00:00.000,2018-02-13T00:00:00.000,Kembung Perempuan [RAB],27
5547,2018,Jaring insang berlapis,896000,2,2018-02-13T00:00:00.000,2018-02-14T00:00:00.000,Kembung Perempuan [RAB],32
5575,2018,Bagan perahu,1120000,3,2018-02-12T00:00:00.000,2018-02-14T00:00:00.000,Kembung Perempuan [RAB],56
